施打站代碼,施打站簡稱,施打站全稱,施打站縣市,施打站行政區,施打站地址,施打站經度,施打站緯度,時段,剩餘名額,預約網址,預約電話,爬蟲程式碼位置,資料抓取時間,疫苗代碼
0101090517b,,臺北市立聯合醫院-陽明院區,臺北市,士林區,台北市士林區雨聲街105號,121.531566,25.105194,,,https://webreg.tpech.gov.tw/RegOnline1_2.aspx?ZCode=M&DeptCode=0100&deptname=COVID-19%e7%96%ab%e8%8b%97%e7%89%b9%e5%88%a5%e9%96%80%e8%a8%ba,02-28389167,,,
0101090517f,,臺北市立聯合醫院-中興院區,臺北市,大同區,台北市大同區鄭州路145號2F,121.508887,25.050692,,,https://webreg.tpech.gov.tw/RegOnline1_2.aspx?ZCode=G&DeptCode=0100&deptname=COVID-19%e7%96%ab%e8%8b%97%e7%89%b9%e5%88%a5%e9%96%80%e8%a8%ba,02-25523234,,,
0101090517g,,臺北市立聯合醫院-忠孝院區,臺北市,南港區,臺北市南港區同德路87號,121.586157,25.046506,,,https://webreg.tpech.gov.tw/RegOnline1_2.aspx?ZCode=Q&DeptCode=0100&deptname=COVID-19%e7%96%ab%e8%8b%97%e7%89%b9%e5%88%a5%e9%96%80%e8%a8%ba,02-27861288,,,
0101090517h,,臺北市立聯合醫院-仁愛院區,臺北市,大安區,台北市大安區仁愛路四段10號,121.545302,25.03754,,,https://webreg.tpech.gov.tw/RegOnline1_2.aspx?ZCode=F&DeptCode=0100&deptname=COVID-19%e7%96%ab%e8%8b%97%e7%89%b9%e5%88%a5%e9%96%80%e8%a8%ba,02-27093600,,,
0101090517i,,臺北市立聯合醫院和平院區,臺北市,中正區,臺北市中華路2段33號,121.506703,25.035591,,,https://webreg.tpech.gov.tw/RegOnline1_2.aspx?ZCode=H&DeptCode=0100&deptname=COVID-19%e7%96%ab%e8%8b%97%e7%89%b9%e5%88%a5%e9%96%80%e8%a8%ba,02-23889595,,,
0111070010,,衛生福利部基隆醫院,基隆市,信義區,基隆市信義區信二路268號,121.748322,25.130455,,,https://netreg.kln.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_NetReg.aspx,02-24292525,,,
0117030010,,衛生福利部臺中醫院,臺中市,西區,臺中市西區三民路一段199號,120.675711,24.140225,,,https://www.taic.mohw.gov.tw/?aid=301&page_name=detail&iid=5897,04-22294411,,,
0122020517,,衛生福利部嘉義醫院,嘉義市,西區,嘉義市西區福全里北港路312號,120.4308,23.479849,,,https://chyiwww001.chyi.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=0227&Date=&Noon=,05-2319090,,,
0131020016,,新北市立聯合醫院,新北市,三重區,新北市三重區新北大道1段3號、3之1號、板橋區英士路198號,121.49084,25.060869,,,https://reurl.cc/bzg9kE,02-29829111,,,
0131060010,,衛生福利部樂生療養院,新北市,新莊區,新北市新莊區中正路794號及桃園縣龜山鄉萬壽路1段50巷2號,121.418,25.029343,,,https://reurl.cc/OXoZer,02-82006600,,,
0131060029,,衛生福利部臺北醫院,新北市,新莊區,新北市新莊區思源路127號、新北巿新莊區長春街6號2樓、3樓,121.459622,25.04324,,,https://reurl.cc/bzyZ5d,02-22765566,,,
0132010014,,衛生福利部桃園醫院,桃園市,桃園區,桃園市桃園區中山路1492號,121.268092,24.977705,,,https://reurl.cc/7yqroQ,03-3699721,,,
0132110519,,衛生福利部桃園醫院新屋分院,桃園市,新屋區,桃園市新屋區新屋村14鄰新福二路6號,121.107189,24.969856,,,https://bit.ly/3mJGgRf,03-4971989,,,
0135010016,,衛生福利部苗栗醫院,苗栗縣,苗栗市,苗栗縣苗栗市為公路747號,120.840405,24.575655,,,https://reg2.mil.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=CO02&Date=&Noon=,037-261920,,,
0136010010,,衛生福利部豐原醫院,臺中市,豐原區,臺中市豐原區安康路100號,120.725292,24.242706,,,https://web1.fyh.mohw.gov.tw/oinetregweb/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=0119&Date=&Noon=,04-25271180,,,
0137170515,,衛生福利部彰化醫院,彰化縣,埔心鄉,彰化縣埔心鄉舊館村中正路二段80號,120.527299,23.950225,,,https://reg.chhw.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_RegTable.aspx?HID=C&Way=Dept&DivDr=0111&Date=&Noon=,04-8298686,,,
0138010027,,衛生福利部南投醫院,南投縣,南投市,南投縣南投市康壽里復興路478號,120.685294,23.914093,,,https://netreg01.nant.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=0219&Date=&Noon=,049-2231150,,,
0140010028,,衛生福利部朴子醫院,嘉義縣,朴子市,嘉義縣朴子市永和里42－50號,120.234634,23.464433,,,https://netreg.puzih.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=0208&Date=&Noon=,05-3790600,,,
0145010019,,衛生福利部花蓮醫院,花蓮縣,花蓮市,花蓮縣花蓮市中正路600號,121.61118,23.979479,,,https://webreg.hwln.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=01CO&Date=&Noon ,03-8358141,,,
0145030020,,衛生福利部玉里醫院,花蓮縣,玉里鎮,花蓮縣玉里鎮中華路448號,121.320848,23.34749,,,https://reg.ttyl.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=CD19&Date=&Noon=,03-8886141,,,
0145080011,,衛生福利部花蓮醫院豐濱原住民分院,花蓮縣,豐濱鄉,花蓮縣豐濱鄉豐濱村光豐路41號,121.521306,23.601975,,,,03-8358141,,,
0146020537,,衛生福利部臺東醫院成功分院,臺東縣,成功鎮,臺東縣成功鎮中山東路32號,121.377829,23.099295,,,,089-324112,,,
0190030516,,衛生福利部金門醫院,金門縣,金湖鎮,金門縣金湖鎮復興路2號、烈嶼鄉上林村后井37號（烈嶼院區）,118.418001,24.440588,,,https://www.kmhp.mohw.gov.tw/,082-332546,,,
0291010010,,連江縣立醫院,連江縣,南竿鄉,連江縣南竿鄉復興村217號,119.949168,26.160844,,,,083-623995,,,
0401180014,,國立台灣大學醫學院附設醫院,臺北市,中正區,臺北市中正區中山南路7、8號；常德街1號,121.518558,25.040776,,,https://reg.ntuh.gov.tw/WebAdministration/VaccineClinicReg.aspx?Hosp=T0&Reg=,02-23123456,,,
0412040012,,國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,新竹市,北區,新竹市北區金華里經國路一段442巷25號,120.97992,24.816707,,,https://www.hch.gov.tw/hch/hch_chinese.aspx,03-5326151,,,
0431270012,,國立臺灣大學醫學院附設醫院金山分院,新北市,金山區,新北市金山區五湖里玉爐路7號,121.628344,25.219469,,,,02-24989898,,,
0433050018,,國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院(竹北院區),新竹縣,竹北市,新竹縣竹北市生醫路一段2號,121.044019,24.805399,,,https://reg.ntuh.gov.tw/WebAdministration/VaccineClinicReg.aspx?Hosp=T7&Reg=V,03-6677600,,,
0434010518,,國立陽明交通大學附設醫院,宜蘭縣,宜蘭市,宜蘭縣宜蘭市校舍路169號、新民路152號,121.75798,24.750052,,,https://www.ymuh.ym.edu.tw/tw/index/message/7604-covid-19%E7%96%AB%E8%8B%97%E6%8E%A5%E7%A8%AE%E6%B5%81%E7%A8%8B%E6%9A%A8%E6%B3%A8%E6%84%8F%E4%BA%8B%E9%A0%85.html,03-9325192,,,
0439010518,,國立臺灣大學附設醫院雲林分院,雲林縣,斗六市,雲林縣斗六市雲林路二段579號,120.525929,23.697662,,,https://web.ylh.gov.tw/covid-19/,05-5323911,,,
0439010527,,國立成功大學醫學院附設醫院斗六分院,雲林縣,斗六市,雲林縣斗六市莊敬路345號,120.545625,23.703133,,,https://d6www.hosp.ncku.edu.tw/WebRegisterSite/MainUI.aspx?Lang=&skv=EzNec8%2bb3ObBGuEQakq0QawPuiWkTewUO9FjEuW3Njo%3d,05-5332121,,,
0501110514,,三軍總醫院附設民眾診療服務處,臺北市,內湖區,臺北市內湖區成功路2段325號,121.591982,25.0718,,,https://www2.ndmctsgh.edu.tw/newwebreg/Register/Doctors?pos=B&DeptCode=11A&DeptGroup=4,02-87923311,,,
0511040010,,三軍總醫院附設基隆民眾診療服務處,基隆市,仁愛區,基隆市中正區正榮街100號，仁愛區孝二路39號2樓,121.762932,25.144665,,,https://wwwv.tsgh.ndmctsgh.edu.tw/unit/50000/16472,02-24633330,,,
0512040014,,國軍新竹地區醫院附設民眾診療服務處,新竹市,北區,新竹市北區武陵路3號,120.961442,24.815974,,,https://813.mnd.gov.tw/,03-5348181,,,
0517050010,,國軍台中總醫院附設民眾診療服務處中清分院,臺中市,北區,臺中市北區忠明路500號,120.672231,24.162282,,,https://803.mnd.gov.tw/816/2021/04/19/covid-19%e7%96%ab%e8%8b%97%e6%8e%a5%e7%a8%ae%e5%85%ac%e5%91%8a/,04-22037320,,,
0532090029,,國軍桃園總醫院附設民眾診療服務處,桃園市,龍潭區,桃園市龍潭區中興里中興路168號,121.234977,24.874464,,,https://registration.aftygh.gov.tw/stepB1.asp?isQuery=1&RoomNo=0224,03-4799595,,,
0536190011,,國軍臺中總醫院附設民眾診療服務處,臺中市,太平區,臺中市太平區中山路2段348號,120.730101,24.150814,,,https://web-reg-server.803.org.tw/stepB3.asp,04-23934191,,,
0544010031,,三軍總醫院澎湖分院附設民眾診療服務處,澎湖縣,馬公市,澎湖縣馬公市前寮里90號,119.583681,23.554615,,,http://netreg.afph.tsgh.ndmctsgh.edu.tw/webreg/calendar_type/5xn1z9fPG5H4JDJEV98dHQ%3D%3D,06-9211116,,,
0545040515,,國軍花蓮總醫院附設民眾診療服務處,花蓮縣,新城鄉,花蓮縣新城鄉嘉里路163號,121.6074,24.024429,,,https://805.mnd.gov.tw/news01/%e5%9c%8b%e8%bb%8d%e8%8a%b1%e8%93%ae%e7%b8%bd%e9%86%ab%e9%99%a2%e9%99%a2%e6%96%b0%e5%86%a0%e7%96%ab%e8%8b%97%e6%b3%a8%e5%b0%84%e5%b0%88%e8%b2%ac%e9%96%80%e8%a8%ba/,03-8263151,,,
0601160016,,臺北榮民總醫院,臺北市,北投區,臺北市北投區石牌路2段201號,121.519166,25.119181,,,https://www6.vghtpe.gov.tw/reg/c19vaccAnn.do,02-28712121,,,
0617060018,,臺中榮民總醫院,臺中市,西屯區,臺中市西屯區臺灣大道4段 1650號,120.604647,24.184298,,,http://regws.vghtc.gov.tw/COVID19VaccReg,04-23592525,,,
0622020017,,臺中榮民總醫院嘉義分院,嘉義市,西區,嘉義市西區劉厝里世賢路2段600號,120.42297,23.467549,,,http://61.60.38.27/COVID19/FormMain.aspx,05-2359630,,,
0632010014,,臺北榮民總醫院桃園分院,桃園市,桃園區,桃園市桃園區成功路三段100號,121.325315,25.003741,,,https://docs.google.com/forms/d/e/1FAIpQLSdDNhDZEz1B_OKjig4X1iq-NPgR2wJuVpB7ROOc326DjC8G0Q/viewform,03-3384889,,,
0633030010,,臺北榮民總醫院新竹分院,新竹縣,竹東鎮,新竹縣竹東鎮中豐路1段81號,121.099575,24.722702,,,http://www.vhct.gov.tw/,03-5962134,,,
0638020014,,臺中榮民總醫院埔里分院,南投縣,埔里鎮,南投縣埔里鎮蜈蚣里榮光路1號,120.99681,23.975802,,,http://covid-19.pulivh.gov.tw/OutSite/COVID19/COVID19Res.aspx,049-2990833,,,
0640140012,,臺中榮民總醫院灣橋分院,嘉義縣,竹崎鄉,嘉義縣竹崎鄉灣橋村石麻園38號,120.506379,23.48778,,,http://61.60.38.27/COVID19_WC/FormMain.aspx?WebMenuID=58f47136-25ae-47c0-856b-9e8f1ee1c429,05-2791072,,,
0645020015,,臺北榮民總醫院鳳林分院,花蓮縣,鳳林鎮,花蓮縣鳳林鎮鳳信里中正路1段2號,121.439215,23.727428,,,https://docs.google.com/forms/d/e/1FAIpQLScLoaWRRw79SVt6X3Q5uBApirQ_E9-33fQfwLbgKLpnRY2u4Q/viewform,03-8764539,,,
0645030011,,臺北榮民總醫院玉里分院,花蓮縣,玉里鎮,花蓮縣玉里鎮泰昌里新興街91號,121.312031,23.339213,,,https://docs.google.com/forms/d/e/1FAIpQLSfp64cRcT5jZfBp0-mIVloem_jOuOSFg41ZCvYlQVbiHlLhrA/viewform,03-8883141,,,
0903150014,,林新醫療社團法人烏日林新醫院,臺中市,烏日區,臺中市烏日區榮和路168號,120.598042,24.109591,,,http://wlshosp.org.tw/%E6%9C%80%E6%96%B0%E6%B6%88%E6%81%AF/covid-19%E7%96%AB%E8%8B%97%E9%A0%90%E7%B4%84%E6%8E%A5%E7%A8%AE%E6%B3%A8%E6%84%8F%E4%BA%8B%E9%A0%85/,04-23388766,,,
0917070029,,林新醫療社團法人林新醫院,臺中市,南屯區,臺中市南屯區惠中路3段36號,120.640201,24.149037,,,http://www.lshosp.com.tw/%E6%9C%80%E6%96%B0%E6%B6%88%E6%81%AF/covid-19%E7%96%AB%E8%8B%97%E9%A0%90%E7%B4%84%E6%8E%A5%E7%A8%AE%E6%B3%A8%E6%84%8F%E4%BA%8B%E9%A0%85/,04-22586688,,,
0932020025,,天成醫療社團法人天晟醫院,桃園市,中壢區,桃園市中壢區延平路155號,121.229069,24.962598,,,https://reurl.cc/R6o069,03-4629292,,,
0933050018,,東元醫療社團法人東元綜合醫院,新竹縣,竹北市,新竹縣竹北市縣政二路69號,121.013955,24.823761,,,https://w3.tyh.com.tw/MainWebRegister.aspx,03-5527000,,,
0935010012,,梓榮醫療社團法人弘大醫院,苗栗縣,苗栗市,苗栗縣苗栗市新東街125號,120.820967,24.551515,,,,037-361188,,,
0935010021,,大千醫療社團法人南勢醫院,苗栗縣,苗栗市,苗栗縣苗栗市南勢里南勢52號,120.78834,24.519791,,,,037-369936,,,
0935020027,,李綜合醫療社團法人苑裡李綜合醫院,苗栗縣,苑裡鎮,苗栗縣苑裡鎮和平路168號、苗栗縣苑裡鎮中華路137號,120.65272,24.44182,,,http://www.leehospital.com.tw/%E7%B6%B2%E8%B7%AF%E6%8E%9B%E8%99%9F/Covid19.asp,037-862387,,,
0936030018,,李綜合醫療社團法人大甲李綜合醫院,臺中市,大甲區,臺中市大甲區八德街2號,120.618073,24.350784,,,http://www.leehospital.com.tw/%E7%B6%B2%E8%B7%AF%E6%8E%9B%E8%99%9F/Covid19.asp,04-26862288,,,
0936060016,,童綜合醫療社團法人童綜合醫院,臺中市,梧棲區,臺中市梧棲區臺灣大道八段699號,120.542506,24.247285,,,https://www.sltung.com.tw/news_d/486/501/1013/0/0/12371,04-26581919,,,
0937010019,,秀傳醫療社團法人秀傳紀念醫院,彰化縣,彰化市,彰化縣彰化市南瑤里中山路1段542號,120.537508,24.064786,,,https://www.scmh.org.tw/RegCal.aspx?Dept=MM&Kind=2,04-7256166,,,
0937030012,,道周醫院,彰化縣,和美鎮,彰化縣和美鎮和光路180號、和善路118號,120.491865,24.110572,,,http://www.farlinhospital.com/images/new/covid-19%E7%96%AB%E8%8B%97%E9%96%8B%E6%89%93.JPG,04-7566995,,,
0937050024,,惠來醫療社團法人宏仁醫院,彰化縣,員林市,彰化縣員林市惠來街89號、91號,120.57029,23.955265,,,https://docs.google.com/forms/d/e/1FAIpQLSfiFJQ8Fw6HFj7Xj5FDdD6ZYIt09b29vdFZnP8OlAaXvso9nw/viewform,04-8375878,,,
0938030016,,佑民醫療社團法人佑民醫院,南投縣,草屯鎮,南投縣草屯鎮太平路一段200號,120.681861,23.960535,,,http://web.yumin.com.tw/OReg/OpoDoctorsVisitListPage?sectcategory=NONE&sectid=1101&sectname=%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E%E7%96%AB%E8%8B%97%E6%B3%A8%E5%B0%84%E7%89%B9%E5%88%A5%E9%96%80%E8%A8%BA&showcd=N,049-2358151,,,
1101010012,,長庚醫療財團法人臺北長庚紀念醫院,臺北市,松山區,臺北市松山區敦化北路199號,121.549618,25.055508,,,https://register.cgmh.org.tw/Department/1/10990D,02-27135211,,,
1101010021,,基督復臨安息日會醫療財團法人臺安醫院,臺北市,松山區,臺北市松山區八德路2段424、426號,121.547826,25.047713,,,https://www.tahsda.org.tw/Register/add_sub.php?sub=00E,02-27718151,,,
1101020018,,國泰醫療財團法人國泰綜合醫院,臺北市,大安區,臺北市大安區仁愛路4段280號，266巷6號,121.544223,25.037666,,,https://reg.cgh.org.tw/tw/reg/main.jsp?source=V,02-27082121,,,
1101100011,,臺灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市,中山區,臺北市中山區中山北路2段92號,121.522558,25.058883,,,https://www.mmh.org.tw/register_divide.php?depid=234,02-25433535,,,
1101150011,,新光醫療財團法人新光吳火獅紀念醫院,臺北市,士林區,臺北市士林區文昌路95號及士商路51號1至7樓53、55號,121.520289,25.09624,,,https://www.skh.org.tw/skh_regis/#/register/step,02-28332211,,,
1101160017,,振興醫療財團法人振興醫院,臺北市,北投區,臺北市北投區振興街45號,121.5224,25.117543,,,https://www2.chgh.org.tw/CovidMain.aspx,02-28264400,,,
1101160026,,醫療財團法人辜公亮基金會和信治癌中心醫院,臺北市,北投區,臺北市北投區立德路125號,121.47201,25.12834,,,https://www.kfsyscc.org/m/archives/11688,02-28970011,,,
1105040016,,台灣基督長老教會新樓醫療財團法人麻豆新樓醫院,臺南市,麻豆區,臺南市麻豆區小埤里苓子林20號,120.233033,23.179874,,,http://class.sinlau.org.tw/mode02.asp?m=202104100907442&t=s&da=2,06-5702228,,,
1105050012,,奇美醫療財團法人佳里奇美醫院,臺南市,佳里區,臺南市佳里區佳興里佳里興606號,120.183662,23.181698,,,http://www.chimei.org.tw/opdschedule/index.aspx?ihosp=14&lang=CH,06-7263333,,,
1111060015,,長庚醫療財團法人基隆長庚紀念醫院,基隆市,安樂區,基隆市安樂區麥金路222號、基隆市麥金路201號,121.722368,25.120882,,,https://register.cgmh.org.tw/Department/2/20990B,02-24313131,,,
1112010519,,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,新竹市,東區,新竹市東區光復路二段690號,120.990781,24.800087,,,https://bit.ly/32ey9Ts,03-6119595,,,
1112010528,,國泰醫療財團法人新竹國泰綜合醫院,新竹市,東區,新竹市東區福德里中華路二段678號及678號之1,120.964932,24.798739,,,https://reg.cgh.org.tw/tw/reg/main_01.jsp,03-5278999,,,
1122010012,,戴德森醫療財團法人嘉義基督教醫院,嘉義市,東區,嘉義市東區中庄里忠孝路539號、642號、保健街100號,120.45005,23.4994,,,https://www2.cych.org.tw/WebToNewRegister/opdregister2.aspx,05-2765041,,,
1122010021,,天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院,嘉義市,東區,嘉義市東區大雅路二段565號,120.4671,23.47568,,,https://flw.stm.org.tw/reg/Home/DrChoose?deptGrouptID=CO&ran=f,05-2756000,,,
1131010011,,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,新北市,板橋區,新北市板橋區南雅南路2段21號及高爾富路300號,121.452312,24.997312,,,https://reurl.cc/bzg9zM,02-89667000,,,
1131050515,,佛教慈濟醫療財團法人台北慈濟醫院,新北市,新店區,新北市新店區建國路289號,121.535808,24.98578,,,https://reurl.cc/qm39Dp,02-66289779,,,
1131090019,,行天宮醫療志業醫療財團法人恩主公醫院,新北市,三峽區,新北市三峽區復興路399號、中山路198、258號,121.363007,24.938385,,,https://reurl.cc/yn4orD,02-26723456,,,
1131100010,,台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,新北市,淡水區,新北市淡水區民生路45號、民權路47號B1至10樓,121.460499,25.139534,,,https://reurl.cc/jq2D5n,02-28094661,,,
1131110516,,國泰醫療財團法人汐止國泰綜合醫院,新北市,汐止區,新北市汐止區建成路59巷2號地下4樓至地上12樓,121.661084,25.072872,,,,02-26482121,,,
1131130018,,新北市立土城醫院（委託長庚醫療財團法人興建經營）,新北市,土城區,新北市土城區金城路2段6號,121.44873,24.976437,,,https://is.gd/OJZpi6,02-22630588,,,
1132010024,,沙爾德聖保祿修女會醫療財團法人聖保祿醫院,桃園市,桃園區,桃園市桃園區建新街123號,121.312507,24.982115,,,https://rms.sph.org.tw/RMSTimeTable.aspx?dpt=S1100F,03-3613141,,,
1132070011,,長庚醫療財團法人林口長庚紀念醫院,桃園市,龜山區,桃園市龜山區公西里復興街5號、5之7號、文化一路15號,121.367627,25.06039,,,https://register.cgmh.org.tw/Department/3/30990D,03-3281200,,,
1133060019,,天主教仁慈醫療財團法人仁慈醫院,新竹縣,湖口鄉,新竹縣湖口鄉孝勢村忠孝路29號,121.045458,24.900558,,,https://bit.ly/3a6FicQ,03-5993500,,,
1134010022,,宜蘭仁愛醫療財團法人宜蘭仁愛醫院,宜蘭縣,宜蘭市,宜蘭縣宜蘭市中山路2段260號,121.754437,24.74874,,,http://www.jen-ai.org.tw/booking/Covid19Reg/Covid19Reg.aspx,03-9321888,,,
1134020019,,醫療財團法人羅許基金會羅東博愛醫院,宜蘭縣,羅東鎮,宜蘭縣羅東鎮南昌街81、83號及站前南路61、63號,121.77041,24.672367,,,https://www.pohai.org.tw/register_detail.php?deptSysCode=A05&deptCode=A0501&deptChName=%E5%9A%B4%E9%87%8D%E7%89%B9%E6%AE%8A%E5%82%B3%E6%9F%93%E6%80%A7%E8%82%BA%E7%82%8E%E7%96%AB%E8%8B%97%E6%8E%A5%E7%A8%AE,03-9543131,,,
1134020028,,天主教靈醫會醫療財團法人羅東聖母醫院,宜蘭縣,羅東鎮,宜蘭縣羅東鎮中正南路160號,121.770714,24.671434,,,http://netreg.smh.org.tw/OINetReg/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=FJ&Date=&Noon=,03-9544106,,,
1135050020,,為恭醫療財團法人為恭紀念醫院,苗栗縣,頭份市,351苗栗縣頭份市信義路128號,120.9083424215997,24.68774021135408,,,https://app2.weigong.org.tw/WebReg/ym/reg/DoctorList.jsp,037-676811,,,
1136090519,,佛教慈濟醫療財團法人台中慈濟醫院,臺中市,潭子區,臺中市潭子區豐興路1段66、88號,120.722927,24.203641,,,https://taichung.tzuchi.com.tw/news/9/1981,04-36060666,,,
1136200015,,仁愛醫療財團法人大里仁愛醫院,臺中市,大里區,臺中市大里區東榮路483號,120.680434,24.109261,,,https://www.jah.org.tw/news/index-1.asp?m=9&m1=7&m2=69&id=2771,04-24819900,,,
